tweettext,label
"Today made me start to question, did I fully overcome my depression?",1
RT @DlSTURBlNG: my depression? i'm back on it,1
RT @BASTARDLOOKK: bbymutha’s instagram story cured my depression. https://t.co/Q8pPlb1Squ,1
RT @KulikovUNIATF: How bad are business travels for your health? Those who 14 or more nights away from home a month have higher BMI and rep…,1
RT @donnyroyalty: I'm so sad that we might not get this kind of event anymore because of what happen. This news even reached to KR. Produce…,1
"RT @Iipglock: From: depression 
to: me https://t.co/Ao1NxJGHCn",1
"RT @pillowxthoughts: anxiety is a devastating thing. no matter how many times you are told to “breathe,” it feels as though the air has all…",1
im genuinely so sad I never go to see this man in person,1
Our #trading software will #trade for you 24 hours non stop. No emotion No panic No stress only winning system. #BTC #FX EA,1
Going outside after a couple of days after a long episode of depression https://t.co/yzyM9keixs,1
Anxiety and procrastination linking up to fuck me over before the semester begins https://t.co/kcr0klTsbN,1
"RT @ChristieC733: .@IngrahamAngle what's the deal if @realDonaldTrump doesn't get his wall he'll lose the #Midterms? 

WRONG.

No Trump sup…",1
RT @botanical: He spent two years planting thousands of scented flowers for his blind wife to smell to help with her depression https://t.c…,1
"RT @History2740: Media : Harry Styles and Camille Rowe broke up after a year together
Harry : that's sad 
Harry : ...
Harry : here's a list…",1
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
RT @TlotliTshey: Stop faking depression to look cool🙄.,1
"My dude the AntFucker made TWO ""Depression Quest isn't a game"" tweets last week. https://t.co/MUBd7xiDMx",1
"@peterdaou You are a deluded sad individual suffering from Trump derangement syndrome.
That is why you are a communist/ democrat.",1
"RT @allouratoms: The most gender, sexuality, race, religion, mental health inclusive show quite possibly ever, and you bloody cancel it. Wh…",1
"RT @hEnereyG: This is a sad story of C. Martin Croker’s last days. This guy is hugely important to animation history, arguably there’s no A…",1
A simple trick to get rid of stress and anxiety in 5 minutes - https://t.co/wyRHVzE74C,1
"RT @NasirPasir: Johan: “Nora kenapa tak buat Kiki Challenge?”
Nora Danish: “Nanti depression kena kecam”
Zizan: “Jangan risau, kalau kita d…",1
"RT @jbakken2015: ur wcw takes 3 depression naps a day, worries about nothing and eats everything in sight, it's me, im ur wcw",1
Sad thing is that his name is already trending :( please censor it.,1
"RT @pressure: depression never arrives alone

it brings along its friends: despair, self-injury and suicide

depression is the invisible pl…",1
"If anyone is a sad lil bitch like me &amp; you listen to songs that make you more upset, I recommend “forgetting is the… https://t.co/kND852opOp",1
@jwrites_ saddest dic i read before #LINAVM and i think this other fic from the Sherlock fandom it's a sad Johnlock fic,1
"RT @GoFacts_: Sleeping is a cure to forget about pain, problems, stress and everything else for a while.",1
RT @BestMensHair: 9 Celebs Who Escaped From The Terrifying Clutches Of Depression https://t.co/8H3GcDTlxL,1
RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,1
Ugh why do I stress myself this much 💆🏽‍♂️,1
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
"You can always change ones physical features, but the minute you attack them mentally they’ll question and reevalua… https://t.co/gxc7z1W694",1
"Sorry I haven’t been tweeting much, it’s the depression",1
"@LauraLoomer @MomWifeGrammy Omg this is so sad and disgusting,, makes me I'll..",1
Depression,1
RT @jennkuchenbrod: Lmk when my anxiety is going to stop ruining my life,1
RT @IAmJeffEmmerson: I don't like crowds a lot. I also don't like entertaining at home (more than 1 or 2 people I actually like who aren't…,1
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
@peachgrdn /slams depression to the ground/ u leave dee alone now u hEAR,1
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
@wasssupkatie i’m sick 95% of the time bc anxiety and it’s getting old!!!!,1
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
I am going To take a fat Depression nap,1
RT @cloutlesskert: Me waking up in the middle of the night due to anxiety and stress https://t.co/ckbi2GsxWp,1
Chucky is still gonna be ugly &amp; Chucky is still gonna have anxiety :/,1
well I can relate. ive been suffering from depressi... — Yeah I have manic depression there are a lot of iss... https://t.co/oF8S9llou6,1
I'm sorry Netflix but u don't truly care about mental health by making a show like 13rw that romantizes suicide &amp; can actually be triggering,1
"I know a whole woman who did this,she took poison &amp; almost stabbed the man and son 😧....",1
RT @Bxzerqz: I would never change my name to depression if i was actually sad guys. Just sayin,1
RT @sosadtoday: it's my depression and i'll do what i want with it,1
@ScarletDrkGames It's so sad,1
Me when my crippling depression allows me to get out of bed (@CapnDesDes) https://t.co/txXayRQ9we,1
RT @Cellix1: opened 8 anniversary lootboxes and all i got was depression https://t.co/m7RNXcPHDm,1
RT @indomymenfess: [idm] regarding to the sad news today... our fellow ARMY said dont mention Ta*'s name.. just censored it. we dont want t…,1
RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,1
Depression sneaking back into my life https://t.co/PAkDYa6zXO,1
"RT @3shells1991: Depression is not funny.

Anxiety is not funny.

Schizophrenia is not funny.

Self-harm is not funny.

Anorexia is not fun…",1
"RT @peedekaf: I get so much PUSSY 
P - panic attacks 
U - uncontrollable anxiety 
S - suicidal fantasies 
S - sadness
Y - yearning for death",1
8 Depression Myths We Need To Stop Believing... https://t.co/kiasU2B2Ac https://t.co/n8YPDcHh8U,1
RT @BestMensHair: 9 Celebs Who Escaped From The Terrifying Clutches Of Depression https://t.co/8H3GcDTlxL,1
🤧I’m so sad I can’t go,1
"Dementia is a difficult thing. The patient has no idea she’s suffering from it, and will fight against the very ide… https://t.co/VXGJs33mii",1
RT @Afactspost: Depression is the result of over thinking. The mind creates problems that didn't even exist.,1
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
RT @Jniewalker: มินย้อกถามซอฮยอนว่า depression แปลว่าอะไร น้องก็พิมพ์ตอบให้ ละนังก็แบบ อู้วว ชเวซอฮยอนนน~~ ละก็บอกว่าเนี่ยซอฮยอนเคย… ,1
RT @DlSTURBlNG: my depression? i'm back on it,1
RT @HealingMB: I used to think that the worst thing in life was to end up alone. It's not. The worst thing... #MentalHealthAwareness #Depre…,1
"RT @jbakken2015: ur wcw takes 3 depression naps a day, worries about nothing and eats everything in sight, it's me, im ur wcw",1
"RT @NasirPasir: Johan: “Nora kenapa tak buat Kiki Challenge?”
Nora Danish: “Nanti depression kena kecam”
Zizan: “Jangan risau, kalau kita d…",1
am i going through a burnout phase or just some weird low mood thing going on or is it my anxiety talking or is it all of the above,1
What helps my depression causes my depression,1
RT @FactsOfSchool: School hasn’t even started yet but my stress has,1
RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
Mao jud ni problema nko kay di jd ko kabalo mo deal ug depression ba yate,1
RT @althea_faythe: Why am I purposely listening to sad songs to make myself sad?,1
RT @philuhmena: 7 months ago today I was raped. I was ashamed of my body. Hid my depression. Today I am a strong happy survivor &amp; l… ,1
What do I do if someone says that they're having an anxiety attack?,1
I need a lifeline.  The weight of my sadness is too much pressure for one soul to bear alone.  But I'm too tired of… https://t.co/VBhCp4bzeB,1
depression finna ruin my summer,1
"literally in so much pain, shits sad",1
RT @isitplausible: this video. cured my depression and cleared my skin https://t.co/jLJUypLqQo,1
Nothing worse than being sad and having anxiety when you're alone at three am..,1
Depression strikes again! Let's see how long it'll last this round!!!!,1
"Today was one of the worst days ever, I’m heartbroken 💔and then I watched the OITNB finale, and now I am crying my… https://t.co/8pIq7dbPfW",1
"RT @Plynteria: Adachi: I became a cop just so I could legally carry a gun and kill people

NA fans: oh fuck yum I love the edge?

Akechi: I…",1
"RT @forjungs: Jangan sampai trending. Sensor namanya. He doesnt need to see his name trending bc of this sad news.

I'm shaking and I didnt…",1
Emotionally: #TigersEye alleviates #depression and uplifts moods.  https://t.co/eoWaEqIIE6,1
How to Manage the #Stress and  #Anxiety #article #self-help New Approach! https://t.co/IEpYmqzOWC https://t.co/mcqHTHg29c,1
"RT @WingGirl_: I can handle stress
Of others
But not capable of handling it of myself",1
Taehyung You Looked So Sad I've Felt It And I Knew Deep Down That Something Happened Made You Broken I Kept Telling… https://t.co/7GgkCJS0jz,1
"i am very disappointed and sad, he's trending.",1
"I thought I was ok this year...

Then my semi annual depression, anxiety, self doubt.",1
"RT @SincerelyTumblr: when you are trying to fight paranoia, depression, dissociation while attempting to balance meaningful relationships h…",1
"RT @forjungs: Jangan sampai trending. Sensor namanya. He doesnt need to see his name trending bc of this sad news.

I'm shaking and I didnt…",1
"RT @GoFacts_: Sleeping is a cure to forget about pain, problems, stress and everything else for a while.",1
"RT @nothingnowhere: our tour is cancelled 
i've been battling severe 
anxiety and depression
and decided the best option 
is to leave for a…",1
"RT @depressionnote: Warning signs of depression ⚠️

⚠️ low self-esteem
⚠️ guilt
⚠️ feeling hopeless
⚠️ tiredness
⚠️ loss of interest in thi…",1
Why sooo many sad songs and shitty poems about boyfriends wanting some space but none ab being ghosted by your coke dealer 😢,1
RT @philuhmena: 7 months ago today I was raped. I was ashamed of my body. Hid my depression. Today I am a strong happy survivor &amp; l… ,1
"RT @forjungs: Jangan sampai trending. Sensor namanya. He doesnt need to see his name trending bc of this sad news.

I'm shaking and I didnt…",1
"RT @troubledpoc: i met haqiem rusli at starbucks earlier 😅 i asked him why did he faked his depression , then he threw his iced americano a…",1
"RT @hoecry: Ur wcw sleeps for 8+ hours at night and still takes a fat depression nap when she gets home. It's me, I'm ur wcw",1
"RT @SuperTeamKid: From dealing with Lupus, Depression and everything in between. I didnt think I’d make it to 21, let alone have 2 degrees.…",1
"RT @jeongurt: if ever you're felling sad remember that it's tuesday tomorrow but no run bts for the meantime, and now you're sadder, you're…",1
"I'm so sad that other people with #BPD genuinely, truly believe that we cannot have healthy, meaningful relationshi… https://t.co/V4Br4a3eOH",1
"RT @soulstaece: when tae’s grandmother passed away, he was in philippines but now he’s grandfather died, he’s not in korea.. i feel so sad…",1
"nooooo 2 3 came on 
Not right now when I’m sad and heartbroken 🤧",1
RT @CharitySANE: #Depression is so much more than just feeling sad. RT if you can relate to this by @annabroges. #StopStigma https://t.co/m…,1
RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
I hate this feeling! Anxiety sucks,1
RT @jaymz5329: Sometimes a mental health day from work is all that is needed to keep away murder charges.,1
"RT @NasirPasir: Johan: “Nora kenapa tak buat Kiki Challenge?”
Nora Danish: “Nanti depression kena kecam”
Zizan: “Jangan risau, kalau kita d…",1
Watching #AntiquesRoadshow makes me sad that my grandparents were Holocaust Survivors... no random knickknacks hand… https://t.co/EPxy07jDNR,1
"so when i went to my appointment i weighed in at 127, i was like damn i lost weight due to stress i bet (i was at 132 before)",1
baby no :((( i’m so sad for him,1
"All this depression, I don't wanna live",1
@allysalvoo Hmmmmmmmm sad 😊 miss you nyaaaaa 😍,1
I have this feeling at the pit of my stomach telling me to be sad but i legitmhsbe nothing to be sad about,1
RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
I haven't had anxiety like this in like a year it's so bad pls get me outta here I have to sit far away from every1 in the corner,1
RT @Ma_Dlams: Depression took my niece this afternoon. I am so broken by this. My baby couldn't go on anymore. 💔 https://t.co/hxree9FcRB,1
RT @yikessamira: SAD! https://t.co/CMb4Y7O9UB,1
RT @NinthWardJawn: me as my mental health continues to decline and my depression and anxiety cloud my judgment and decision making. https:/…,1
"RT @LucasBryner3: If you have ever suffered from:
• Depression
• Anxiety
• Eating disorder
• Self-harm
• Ocd
• Bipolar
• Feelings of guilt…",1
@SammRuger @MCD_MiamiValley I only have $.99 😔 guess I have to have crippling depression forever,1
RT @5PFC_M1L_Gr4u: 5PFC SAD MEME https://t.co/FbVdZiF7S4,1
RT @pettyblackboy: Me and my homegirls taking a break from our depression to turn up at local functions this summer https://t.co/bhtbieNixW,1
"RT @troubledpoc: i met haqiem rusli at starbucks earlier 😅 i asked him why did he faked his depression , then he threw his iced americano a…",1
RT @sugaplumcris: depression: https://t.co/h4LHQHEz3G,1
Depression is a bitch. I just want to sleep for like 5 years,1
"RT @faguettte: Your wcw blames their depression on planets being in retrograde to cover up how much of a mess they are, it's me I'm your wcw",1
Depression and Obsession don’t mix well 🤕,1
ASK ME HOW MY ADDICTION TO YANINA LATORRE MEMES IS DRIVING ME DOWN A SOCIAL ANXIETY SPIRAL AND RUINING MY LIFE https://t.co/TeX9VNsd6O,1
RT @MirulHalim: @juruteraMY No need to mention your “engineer” title in every caption on your socmed + buat2 post gmbr dgn caption stress k…,1
Combating feelings of #depression and #loneliness? Check out this video. https://t.co/MbhZvu328h,1
"RT @3shells1991: Depression is not funny.

Anxiety is not funny.

Schizophrenia is not funny.

Self-harm is not funny.

Anorexia is not fun…",1
also thers no good pics of charles so now i have depression,1
"Comparing urself to others is d root cause for feelings of unhappiness, self blame &amp; depression.",1
"I’m about to cry, listen to them, I’m sad  https://t.co/PT0eTJnF8p",1
RT @princessdees: Anxiety is a bitch,1
@itzzzz_martinnn OH MY GOD THAT MEANS EVERYTHING. I was having so much anxiety of posting it. But overall said fuck it.,1
"RT @outerjeon: if a student gets 90 something out of 100 and yet they are crying and calling it a bad grade, chances are they are NOT overr…",1
"1/ Can someone please explain to me why one of the first warnings on almost all anti-depression medications is ""May cause suicidal",1
@Lola4190 How sad for you. So you're planning on living an extremely boring life until you die? Age shaming is so l… https://t.co/WPDmbArVQO,1
RT @LUClDITY: sad bitch hours,1
"@LeighMLorentz Wrist strain. I was born with a shitty upper back and my anxiety causes stiff shoulders, which resul… https://t.co/jaQZop4aLk",1
@JammieWF Someone freaking out about this is prone to panic attacks and anxiety? No way!,1
@JimHaf1 The problem is that the system there is very cruel to the less fortunate. Having healthcare depend on your… https://t.co/HAwiTPEwU4,1
Dat coz; forcin' me to crash the Capulet party because of my depression 😒. Methinks I'll go to seduce Rosaline😋.… https://t.co/fe610pEnpA,1
"RT @ShumDarioNews: Abuse, mental health, and racism are just some of the important topics that Shadowhunters has covered in the little time…",1
"Ich bin durch mit meinem erbärmlichen scheiß Leben,Punkt.Lasst mich auf mein Ende zugehen.#notjustsad #depression #bipolar #Suizidgedanken",1
i get so shy when i have feelings for someone. it’s kinda sad,1
A simple trick to get rid of stress and anxiety in 5 minutes - https://t.co/FDU6NLY657,1
If you're at the Cum Town $100 Patreon tier you get to watch Nick Mullen live stream his suicide.,1
RT @Afactspost: Depression is the result of over thinking. The mind creates problems that didn't even exist.,1
How many depression naps can I get away with until my parents start asking questions? Literally 1,1
RT @morganriIey: Your WCW is a piece of shit who takes 6 depression naps a day. She also pushes away everybody who cares about her. It's me…,1
RT @Brookodile: This is not even an exaggeration for people with hardcore social anxiety or depression I legit pop off this hard when I hav…,1
Paling tak suka kalau anxiety attack dah mula serang aku.,1
RT @MarcusAOD: @alllhypenoheart “omg i have post concert depression take me back” is the cringiest shit,1
RT @BestMensHair: 9 Celebs Who Escaped From The Terrifying Clutches Of Depression https://t.co/8H3GcDTlxL,1
"RT @C0rpsePimp: This is:

⚪️ real

⚪️ me

🔘 THE STORY OF A GIRL WHO CRIED A RIVER AND DROWNED THE WHOLE WORLD AND WHILE SHE LOOKED SO SAD I…",1
How to Manage the #Stress and  #Anxiety #article #self-help New Approach! https://t.co/fBCbji497I https://t.co/yRzRD9xsIA,1
10. i cant smoke weed anymore cause it gave me bad anxiety attacks like 3 times and its not worth the risk 4 me,1
"Alhamdullilah, In a relationship with depression😀😂😭.",1
"RT @littlestartae: they even know when and where he went to the funeral
someone legit just stalked him
that's just sad",1
RT @mystylesbutera: “hamille broke up” aw that’s sad alexa play ‘they were never together in the first place’ by me,1
"Se me rompieron los auriculares y mi hermana me dijo ""this is so sad alexa, you can't play despacito""",1
"RT @pillowxthoughts: anxiety is a devastating thing. no matter how many times you are told to “breathe,” it feels as though the air has all…",1
"RT @troubledpoc: i met haqiem rusli at starbucks earlier 😅 i asked him why did he faked his depression , then he threw his iced americano a…",1
"This is terrible, worse than terrible; but those of us who see kids with mental health issues deal with these obsta… https://t.co/WbJf1ln1d9",1
"RT @LadyThriller69: Hello, my name is Diana Graber. I am Sharika's neighbor, Sharika is in the hospital. She tried to commit suicide. Her c…",1
RT @VINTERINE: wtf is this me when I blast sad music in my earphones and cry while I wash the dishes and clean the house https://t.co/n1Xbl…,1
Tfw you're working out but then your anxiety and depression hit you hard you just lay on the floor wishing you were dead💀,1
"G A G

“Get your fluff outta here—“

He’s just sad and lonely. It makes him grumpy.",1
IM SO SAD https://t.co/SxvTs6ip0O,1
"RT @BTS_ARMY_INT: if you're new to this community and you didn't go through or know about those fucking years of anxiety, panic, and depres…",1
RT @1santogogh: Can my depression leave me the fuck alone,1
"RT @jbakken2015: ur wcw takes 3 depression naps a day, worries about nothing and eats everything in sight, it's me, im ur wcw",1
RT @VINTERINE: wtf is this me when I blast sad music in my earphones and cry while I wash the dishes and clean the house https://t.co/n1Xbl…,1
Lacson says that the attack in Basilan this morning is the first case of Suicide Bombing by Islamic Religious Extre… https://t.co/hB0Y7mYHQk,1
"RT @JustMoreOfJesus: Jesus, please take everything that causes so much pain, heart ache and anxiety in my life. In Jesus name. Amen. https:…",1
"RT @FuzzyWuzzyTO: 3D-printed guns is peak America. Fire at will, you sad, pathetic, hillarious country.",1
RT @DemocratsDGofKS: BREAKING - The Housed passed the bill to ban guns in hospitals and mental health facilities. Vote was 91/33!!!... http…,1
RT @dearlymalik: this video literally makes me so sad wtf niall deserves better https://t.co/avhRqA1qP6,1
RT @btmyoongi: depression: surprise bitch,1
RT @carxlinv: depression hours at it again brb https://t.co/IG6ZMK0CrS,1
RT @atribecalledkiz: LOL........y’all are going to “this generation” me to death. https://t.co/VjiYs4g5uL,1
Hey!! I'm not sure who's online but uhhh I'm extremely uncomfortable and having some really bad anxiety with interm… https://t.co/stH3zMNo5p,1
RT @VINTERINE: wtf is this me when I blast sad music in my earphones and cry while I wash the dishes and clean the house https://t.co/n1Xbl…,1
RT @botanical: He spent two years planting thousands of scented flowers for his blind wife to smell to help with her depression https://t.c…,1
RT @loopzoop: Hello? 2 hour depression nap? Do you remember me...in monaco... i made u that bracelet,1
"RT @Chimtaekookcham: So that’s why Taehyung is missing in the boys’ trip... His father passed away 😫😭 

Tae must be really shocked and sad 😔",1
RT @LedyardNFLDraft: I can barely watch anymore...it’s so sad https://t.co/STq8OOIhwX,1
@realDonaldTrump Hey Don - She's so sad.,1
Fatigue as a Residual Symptom of Depression ... https://t.co/KY9LZaAzU9,1
RT @nicamora: finna be asleep in .6 seconds but why is it that creatives seem to experience depression the most,1
RT @SGouater: Le suicide coe la depression ne st pas issus d'une culture. Les maux psychiatriques et psychologiques attribués aux… ,1
RT @itsbambibanks: Me waking up from my 6 hour depression nap https://t.co/iahRe3b0mI,1
RT @ianaIexander: me after my second depression nap of the day https://t.co/JyGIGEGHYg,1
RT @ehjovon: how many days is too long to reply im starting to feel bad in between depression naps,1
RT @tyrec_grayson16: Y’all be so sad when a famous person rants or says they depressed but y’all friends be going through shit and y’all do…,1
"RT @NasirPasir: Johan: “Nora kenapa tak buat Kiki Challenge?”
Nora Danish: “Nanti depression kena kecam”
Zizan: “Jangan risau, kalau kita d…",1
oh my precious angel ): i hate to know that you're sad when it damn distance doesn't allow me to hug you ㅠ-ㅠ feel t… https://t.co/pDcnGO6dnH,1
"RT @MrsPatriot3: Journalism is dead. 

Enter: Anons.

We have basically done YOUR job for you.
You all failed, leaving open this vast hole…",1
"@BostonGlobe Based on the comments, it seems as though they aren't valued anyway.  Pretty sad.",1
"tfw being a furry gives u the closest thing uve felt to depression

😂😂😂😂😂😂😂😂",1
Broken Dreams and Financial Illusions: The Secret Depression of Black Men https://t.co/U3YFJut5Sx via @blackvoices,1
"RT @iatemuggles: me: i need to talk this out with someone

my anxiety: you’re going to come off as needy. isolate urself and handle it. all…",1
"RT @jbakken2015: ur wcw takes 3 depression naps a day, worries about nothing and eats everything in sight, it's me, im ur wcw",1
RT @deathlylogan: “u look sad” bc im depressed bitch,1
"RT @dismiss: depression is being lonely in a room full of people
depression is being constantly tired but never able to sleep
depression is…",1
RT @inkfreeskin: @tobrap @NiallOfficial Its fake im sad https://t.co/4okD9hw5L9,1
"RT @Salon: His son's death spurs ""No One Cares About Crazy People"" author on a mission to change attitudes on mental health https://t.co/iK…",1
@Rissgarciaa B has been having anxiety and vertigo type symptom on and off for about 8 months and nobody has any idea what's wrong 🙁,1
RT @farahbrook: anxiety is like living in a horror movie but you never get the relief of getting killed at the end,1
"RT @forjungs: Jangan sampai trending. Sensor namanya. He doesnt need to see his name trending bc of this sad news.

I'm shaking and I didnt…",1
Not trying to be dramatic or anything but talking about personal finances gives me a level of anxiety and nausea to combat finals week.,1
"RT @ShineMyGold: i tried to commit suicide today. never doin that shit again, i almost killed myself",1
RT @witneyware: This conversation between Malaysia and her son is so heartbreaking. Sad these conversations even need to happen. These chil…,1
RT @VINTERINE: wtf is this me when I blast sad music in my earphones and cry while I wash the dishes and clean the house https://t.co/n1Xbl…,1
"@TubbyEmu dumbass logic Emu, shows you the true majority of the WWE fanbase these days and it's sad...",1
i rly need to stop being so close to my coworkers cuz i get sad af when they stop working w me😢,1
RT @zonum_ettevy: Sharika aka @LadyThriller69 has been hospitalized for attempted suicide.  Why now after appearing to have a burst of Drag…,1
amateur anxiety. tendencies to auto-sabotage. self destructive behaviour. bitter grief.,1
"RT @AndrewYangVFA: Americans are both getting married and having children at all-time lows, in part due to economic stress. The rate of Ame…",1
RT @bieberhole666: Fuck you https://t.co/WcJ1iaiJIq,1
"@AsheSchow Wasn’t there a staffer for an MP in Wales who committed suicide, too?",1
RT @daz_inc_: Really? Isn’t suicide the most personal thing on this earth? How can it be a problem to make it about yourself 🤔 https://t.co…,1
"RT @pressure: depression never arrives alone

it brings along its friends: despair, self-injury and suicide

depression is the invisible pl…",1
"@sdttaeyong I LITERALLY WAS ABOUT TO SCREAM AT YOU HAD YOU NOT, AJDKKFDIRIEJEIS. but, ily2 even though you just gav… https://t.co/BxXDGjNpQq",1
@j_decar @ciaoobelllaxo Coming from a person who just hides behind a scream. It’s sad that you obviously made an ac… https://t.co/pYCMI7oVsA,1
RT @alex_halkney99: Having depression &amp; anxiety is like being scared &amp; tired at the same time. It’s the fear of failure but no urge to be p…,1
RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
I want to be like damn y'all in the 8th grade how bad could it be? Then I remember how I cried every day...8th grad… https://t.co/Bc3KuPJpq2,1
"I hate that I’m a stress crier, happy crier and angry crier. I cry for everything.",1
"How stressful is your city? Learn more about managing #stress: https://t.co/ed6R4Ov3Zu
V/@wef
C/@Fisher85M… https://t.co/duwlR3Ls3m",1
"RT @samiotobin: DWP to pay two severely disabled men unlawfully discriminated against when moved onto #UniversalCredit total of £11,000 for…",1
@fancylettuce Don’t those people know how many babies fall out of windows to their death in movies in situations ex… https://t.co/8CvwTip9o9,1
RT @AdrianXpression: Bitch move! You didn't bat an eyelid at your husband's racist bigotry OR his confession of being a sexual predator htt…,1
"ಲೈವ್​ ವಿಡಿಯೋ ಮಾಡಿಕೊಂಡು ವಿಷ ಸೇವಿಸಿ ಆತ್ಮಹತ್ಯೆಗೆ ಶರಣಾದ ಯುವಕ
#Poisoning #Suicide #LiveVideo #YoungMan #Police… https://t.co/8PzNDS7sOY",1
i am so sad and helpless. going ✈️ cry,1
RT @Aylo_SA: Suicide is not an option. Giving up is not an option. Your situation will change. Retweet to save a life. Someone right now ne…,1
smoked to stop being sad now im just sad And high,1
@ecstaetically so sad :(,1
The guy that kept sending me “I miss you” text unfriended me on Snapchat and I’m kind of sad I’m not getting the at… https://t.co/D8fResQBgQ,1
"Damn he was so fine, I’m sad all over again",1
RT @dubsteppenwolf: Well this is unbelievably sad and fucked up and totally unsurprising https://t.co/9BM9qjHDHO,1
So thats why he's sad and not talkative this past few weeks?? :(((( I really feel theres something wrong and now...… https://t.co/E6wTu3Zj3Z,1
RT @_Belize: I know my depression is at it's peak when I don't even have a appetite after I smoke,1
RT @emoblackthot: Listening to sad songs when you’re already sad &gt;&gt;&gt;&gt;&gt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;,1
RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
"RT @nothingnowhere: our tour is cancelled 
i've been battling severe 
anxiety and depression
and decided the best option 
is to leave for a…",1
no joke i am terrified of being 18 bc my parents want me to get a job since i dropped out of college over mental health and man im a mess...,1
"RT @Iocaldrug: ""you look depressed"" thanks it's the depression",1
"RT @MaysinLayne: If there was no @grav3yardgirl. 
If I never saw her on YouTube.
I think my depression &amp; anxiety would be too hard for me t…",1
RT @emoblackthot: Listening to sad songs when you’re already sad &gt;&gt;&gt;&gt;&gt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;,1
why am i so fucking sad!!!!!!!!,1
"TW: suicide
This song helps me so much when I'm feeling suicidal and has been for 6 years. One of my favorites, and… https://t.co/MqewBWPBrK",1
